,Religious Community Involvement,Local Venue Visitation,Secular Volunteer Service,Online Social Networking,Workplace Socializing,Athletic Engagement,Cultural-Hobby Participation,Neighborhood Integration,Broader Event and Group Participation,Friendship Through Connections,Non-Engagement Preference,Alternative Strategies,Not Clear / Uncodeable Responses,re_category_id,nh_category_id,Nigel_Match,Response,Key_Reasons,JSON
101,0,0,1,0,0,1,1,0,1,0,0,0,0,0010011010000,0010010010000,0,"I would join political action groups and I would take classes, language classes, yoga stuff like that. Join a gym. Volunteer","This respondent made new friends by joining political action groups, taking classes (including language and yoga), joining a gym, and volunteering.","{ ""1"": ""0"", ""2"": ""0"", ""3"": ""1"", ""4"": ""0"", ""5"": ""0"", ""6"": ""1"", ""7"": ""1"", ""8"": ""0"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
102,1,0,1,0,0,1,1,0,0,0,0,0,0,1010011000000,1000011000000,0,"we would join a golf club and I participate in church. I enjoy museum auxiliaries, I would join the auxiliary and volunteer. I enjoy bridge and would join a bridge club. I would go that way.","This respondent made new friends by joining a golf club, participating in church, joining a museum auxiliary, volunteering, and joining a bridge club.","{ ""1"": ""1"", ""2"": ""0"", ""3"": ""1"", ""4"": ""0"", ""5"": ""0"", ""6"": ""1"", ""7"": ""1"", ""8"": ""0"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
103,0,0,0,1,1,0,1,0,0,0,0,0,0,0001101000000,0100101010000,0,"Sign up for classes, either classes that pertain to my job or hobby classes; I'd probably sign up for Meet Up and see what's around me that I enjoy. I'm not a big drinker but I would probably go out with coworkers to a happy hour or something","This respondent made new friends by signing up for classes, using Meet Up, and going out with coworkers.","{ ""1"": ""0"", ""2"": ""0"", ""3"": ""0"", ""4"": ""1"", ""5"": ""1"", ""6"": ""0"", ""7"": ""1"", ""8"": ""0"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
104,1,0,1,0,0,0,0,0,1,0,0,0,0,1010000010000,1010000000000,0,"I would volunteer, I might join a church. I would maybe join some community groups. Working with seniors, non profit work with elderly or children. Join the chamber.","This respondent made new friends by volunteering, joining a church, joining community groups, working with seniors, doing non-profit work with elderly or children, and joining the chamber.","{ ""1"": ""1"", ""2"": ""0"", ""3"": ""1"", ""4"": ""0"", ""5"": ""0"", ""6"": ""0"", ""7"": ""1"", ""8"": ""1"", ""9"": ""1"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
105,0,0,0,0,0,0,0,0,0,0,0,0,1,0000000000001,0000000000100,0,I would do the things I normally do and see who I meet doing that.,This respondent made new friends by doing their usual activities and meeting new people.,"{ ""1"": ""0"", ""2"": ""0"", ""3"": ""0"", ""4"": ""0"", ""5"": ""0"", ""6"": ""0"", ""7"": ""0"", ""8"": ""0"", ""9"": ""0"", ""10"": ""1"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
106,0,0,0,0,0,0,1,0,0,1,0,0,0,0000001001000,0000100000000,0,I think the first thing I would meet people who are connected to people I know or connected to people through work. I would get involved in things that I like doing and meet people doing that.,"This respondent made new friends by:
- Meeting people connected to people they know
- Meeting people connected to people through work
- Getting involved in things they like doing and meeting people doing that","{ ""1"": ""0"", ""2"": ""0"", ""3"": ""0"", ""4"": ""0"", ""5"": ""0"", ""6"": ""1"", ""7"": ""0"", ""8"": ""0"", ""9"": ""0"", ""10"": ""1"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
108,1,0,0,1,0,1,0,0,0,0,0,0,0,1001010000000,0000011000000,0,"I might try a Meet-up group, try finding a church, or maybe some kind of sports.","This respondent made new friends by joining a Meet-up group, finding a church, and participating in sports.","{ ""1"": ""1"", ""2"": ""0"", ""3"": ""0"", ""4"": ""0"", ""5"": ""0"", ""6"": ""1"", ""7"": ""0"", ""8"": ""0"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
109,0,0,0,0,0,0,0,0,1,0,0,1,0,0000000010010,0000001000100,0,The only places I would think of moving is St. Louis and New york Because I know people there. I would just talk to people and have interactions with random people. Maybe join groups.,"This respondent made new friends by talking to people, having interactions with random people, and joining groups.","{ ""1"": ""0"", ""2"": ""0"", ""3"": ""0"", ""4"": ""1"", ""5"": ""0"", ""6"": ""0"", ""7"": ""0"", ""8"": ""0"", ""9"": ""0"", ""10"": ""1"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
110,1,1,0,0,0,0,0,0,0,0,0,1,0,1100000000010,1100000000000,0,"Attend church. Walk to a coffee shop and engage myself in conversation, or start up a conversation with someone with a animal","This respondent made new friends by attending church, engaging in conversation at a coffee shop, and starting conversations with people with animals.","{ ""1"": ""1"", ""2"": ""1"", ""3"": ""0"", ""4"": ""0"", ""5"": ""0"", ""6"": ""0"", ""7"": ""0"", ""8"": ""0"", ""9"": ""0"", ""10"": ""1"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
111,1,0,0,0,0,1,0,0,0,0,0,0,0,1000010000000,0010010000000,0,"Volunteer, join a sports club, team or something like that",This respondent made new friends by volunteering and joining a sports club or team.,"{ ""1"": ""0"", ""2"": ""0"", ""3"": ""1"", ""4"": ""0"", ""5"": ""0"", ""6"": ""1"", ""7"": ""0"", ""8"": ""0"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
112,0,0,0,0,1,1,0,1,0,0,0,1,0,0000110100010,0000111001000,0,"Ask current friends if they know anybody in this new town. Meet people at my daughter's acitivities. Meet people at work. Meet the neighbors. Meet people at my favorite activities, such as dance classes, or other exercise classes.","This respondent made new friends by asking current friends, meeting people at daughter's activities, meeting people at work, meeting neighbors, and meeting people at favorite activities.","{ ""1"": ""0"", ""2"": ""0"", ""3"": ""0"", ""4"": ""0"", ""5"": ""1"", ""6"": ""0"", ""7"": ""0"", ""8"": ""1"", ""9"": ""1"", ""10"": ""1"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
113,0,0,0,0,0,0,0,0,1,0,0,0,0,0000000010000,0000001000000,0,I would probably get involved in environmental efforts or urban growth issues.,This respondent made new friends by getting involved in environmental efforts or urban growth issues.,"{
""1"": ""0"",
""2"": ""0"",
""3"": ""0"",
""4"": ""0"",
""5"": ""0"",
""6"": ""1"",
""7"": ""0"",
""8"": ""0"",
""9"": ""0"",
""10"": ""0"",
""11"": ""0"",
""12"": ""0"",
""13"": ""0""
}"
116,0,0,0,0,0,0,0,0,0,0,1,0,0,0000000000100,0000100000000,0,"I currently work and have a two year old son so being ""social"" isn't a part of my busy life. I would take 0 steps to make new friends. My best way I guess would be meeting someone at a child friendly place but even then I have always been more",This respondent made new friends by meeting someone at a child-friendly place.,"{ ""1"": ""0"", ""2"": ""0"", ""3"": ""0"", ""4"": ""0"", ""5"": ""0"", ""6"": ""0"", ""7"": ""0"", ""8"": ""0"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
120,1,0,0,0,0,0,0,0,1,1,0,0,0,1000000011000,1001000000000,0,"church and find connections we already have, and thru work always andmaybe thru comm orgs.","This respondent made new friends by: 
- Attending church
- Finding connections they already have
- Networking through work
- Possibly joining community organizations","{ ""1"": ""1"", ""2"": ""0"", ""3"": ""0"", ""4"": ""0"", ""5"": ""1"", ""6"": ""0"", ""7"": ""0"", ""8"": ""0"", ""9"": ""0"", ""10"": ""1"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
124,1,0,0,0,0,0,0,0,1,0,0,1,0,1000000010010,1000010010000,0,"I go to the senior center, the local Catholic Church, get a dog and take walks","This respondent made new friends by going to the senior center, attending the local Catholic Church, getting a dog, and taking walks.","{ ""1"": ""1"", ""2"": ""0"", ""3"": ""0"", ""4"": ""0"", ""5"": ""0"", ""6"": ""1"", ""7"": ""0"", ""8"": ""0"", ""9"": ""1"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
125,0,0,0,1,0,1,0,0,0,0,0,0,0,0001010000000,0000010000000,0,I can go on personal experience I moved to Concord 3 years ago. I joined several meet up groups sharing same interests. Cyclists,"This respondent made new friends by joining meet up groups with shared interests, specifically cyclists.","{ ""1"": ""0"", ""2"": ""0"", ""3"": ""0"", ""4"": ""0"", ""5"": ""0"", ""6"": ""1"", ""7"": ""0"", ""8"": ""0"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
127,0,0,0,0,1,0,1,0,0,1,0,0,0,0000101001000,0000101000000,0,"get involved in theater, find a job, find a few people that i connected to and try to integrate myself into their social system. ask someone out.","This respondent made new friends by getting involved in theater, finding a job, connecting with a few people, integrating into their social system, and asking someone out.","{ ""1"": ""0"", ""2"": ""0"", ""3"": ""0"", ""4"": ""1"", ""5"": ""0"", ""6"": ""0"", ""7"": ""1"", ""8"": ""0"", ""9"": ""0"", ""10"": ""1"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
128,0,0,0,0,0,0,0,1,0,0,0,1,0,0000000100010,0000000101000,0,Get to know the neighbors; get info on the area from current friends & family members; walk the immediate vicinity of our new residence,"This respondent made new friends by:
- Getting to know the neighbors
- Getting info on the area from current friends & family members
- Walking the immediate vicinity of their new residence","{ ""1"": ""0"", ""2"": ""0"", ""3"": ""0"", ""4"": ""0"", ""5"": ""0"", ""6"": ""0"", ""7"": ""0"", ""8"": ""1"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
129,0,0,0,0,1,0,0,0,1,0,0,0,0,0000100010000,0001001000000,0,"Work is where I meet most people, Use Meet Up. Looking at community classes.","This respondent made new friends by:
- Meeting people at work
- Using Meet Up
- Looking at community classes","{ ""1"": ""0"", ""2"": ""0"", ""3"": ""0"", ""4"": ""1"", ""5"": ""1"", ""6"": ""0"", ""7"": ""0"", ""8"": ""0"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
130,0,0,0,0,1,0,0,0,0,0,0,1,0,0000100000010,0000100000000,0,"Going out with coworkers, Going to school",This respondent made new friends by going out with coworkers and going to school.,"{ ""1"": ""0"", ""2"": ""0"", ""3"": ""0"", ""4"": ""0"", ""5"": ""1"", ""6"": ""0"", ""7"": ""0"", ""8"": ""0"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
131,0,0,0,0,0,0,0,0,0,0,0,1,0,0000000000010,0000001000000,0,"meet people shopping, everyday activities, museum, parks","This respondent made new friends by meeting people while shopping, engaging in everyday activities, visiting museums, and going to parks.","{ ""1"": ""0"", ""2"": ""1"", ""3"": ""0"", ""4"": ""0"", ""5"": ""0"", ""6"": ""1"", ""7"": ""0"", ""8"": ""0"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
132,1,0,0,0,0,0,1,0,1,0,0,0,0,1000001010000,1000001000000,0,"Active member of AA so that's how I meet. Unitarian Church, I would look for people in meditation groups",This respondent made new friends by being an active member of AA and participating in meditation groups at the Unitarian Church.,"{ ""1"": ""0"", ""2"": ""0"", ""3"": ""0"", ""4"": ""0"", ""5"": ""0"", ""6"": ""0"", ""7"": ""0"", ""8"": ""1"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
137,0,0,0,0,0,0,0,1,0,0,0,1,0,0000000100010,0010101100000,0,"Library, helping out. Joining community activities.",This respondent made new friends by joining community activities and helping out.,"{ ""1"": ""0"", ""2"": ""0"", ""3"": ""1"", ""4"": ""0"", ""5"": ""0"", ""6"": ""0"", ""7"": ""0"", ""8"": ""1"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
152,0,0,0,0,0,0,0,1,0,0,0,0,0,0000000100000,0000001000000,0,take community classes,This respondent made new friends by taking community classes.,"{ ""1"": ""0"", ""2"": ""0"", ""3"": ""0"", ""4"": ""0"", ""5"": ""0"", ""6"": ""0"", ""7"": ""0"", ""8"": ""0"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
191,1,0,1,0,0,0,1,0,0,0,0,1,0,1010001000010,1010001000000,0,"possibly obtain job and meet people through work, volunteering, ""fun"" classes at Junior college or senior center, check out the local congregation.","This respondent made new friends by obtaining a job, meeting people through work, volunteering, taking ""fun"" classes, and checking out the local congregation.","{ ""1"": ""1"", ""2"": ""0"", ""3"": ""1"", ""4"": ""0"", ""5"": ""1"", ""6"": ""0"", ""7"": ""1"", ""8"": ""0"", ""9"": ""0"", ""10"": ""1"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
247,0,0,0,0,0,0,0,0,0,1,0,1,0,0000000001010,0000000000010,0,"look for a senior center, would probably move someone where I already knew someone and would have them assist me in meeting new people.",This respondent made new friends by looking for a senior center and seeking assistance from someone they already knew.,"{
""1"": ""0"",
""2"": ""0"",
""3"": ""0"",
""4"": ""0"",
""5"": ""0"",
""6"": ""0"",
""7"": ""0"",
""8"": ""0"",
""9"": ""1"",
""10"": ""1"",
""11"": ""0"",
""12"": ""0"",
""13"": ""0""
}"
259,0,0,0,0,0,0,0,0,1,0,0,0,0,0000000010000,0000001000000,0,get involved in AA,This respondent made new friends by getting involved in AA.,"{ ""1"": ""0"", ""2"": ""0"", ""3"": ""0"", ""4"": ""0"", ""5"": ""0"", ""6"": ""0"", ""7"": ""0"", ""8"": ""0"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
264,1,0,1,0,0,1,1,0,0,0,0,1,0,1010011000010,1010011000000,0,"Church, volunteer, recreational activities offered by the city, junior college classes (arts and crafts stuff).","This respondent made new friends by attending church, volunteering, participating in recreational activities, and taking junior college classes.","{ ""1"": ""1"", ""2"": ""0"", ""3"": ""1"", ""4"": ""0"", ""5"": ""0"", ""6"": ""1"", ""7"": ""1"", ""8"": ""0"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
303,0,0,0,0,0,0,0,1,0,0,0,1,0,0000000100010,0000000100000,0,go to yarn shop take classes at community center meet neighbors,"This respondent made new friends by taking classes, meeting neighbors.","{ ""1"": ""0"", ""2"": ""0"", ""3"": ""0"", ""4"": ""0"", ""5"": ""0"", ""6"": ""0"", ""7"": ""0"", ""8"": ""1"", ""9"": ""0"", ""10"": ""1"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
308,0,0,1,0,1,0,1,0,0,0,0,1,0,0010101000010,0010101000000,0,"Volunteering, joining Sierra Club local chapter, taking classes at local colleges","This respondent made new friends by volunteering, joining Sierra Club local chapter, and taking classes at local colleges.","{ ""1"": ""0"", ""2"": ""0"", ""3"": ""1"", ""4"": ""0"", ""5"": ""0"", ""6"": ""1"", ""7"": ""1"", ""8"": ""0"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
320,0,0,0,1,0,0,1,0,0,0,0,1,0,0001001000010,0001001000000,0,"I would get on the internet I would locate the senior center, I like to take classes so I would locate and find out about classes at the local university. I am friendly and say hello to people when I walk. Just by interaction, when I'm shoppin","This respondent made new friends by:
- Getting on the internet
- Locating the senior center
- Finding out about classes at the local university
- Being friendly and saying hello to people while walking
- Interacting with people while shopping","{ ""1"": ""0"", ""2"": ""0"", ""3"": ""0"", ""4"": ""1"", ""5"": ""0"", ""6"": ""0"", ""7"": ""0"", ""8"": ""1"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
324,0,0,1,0,1,0,1,0,0,0,0,1,0,0010101000010,0010101000000,0,"Engaging with co-workers, joining a civic organization (e.g. Rotary, Lions, etc), volunteering, participate in park & recreation activities, take classes at local community colleges","This respondent made new friends by engaging with co-workers, joining a civic organization, volunteering, participating in park & recreation activities, and taking classes at local community colleges.","{ ""1"": ""0"", ""2"": ""0"", ""3"": ""1"", ""4"": ""0"", ""5"": ""1"", ""6"": ""1"", ""7"": ""1"", ""8"": ""0"", ""9"": ""1"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
329,0,0,0,0,0,1,1,0,0,0,0,1,0,0000011000010,0000011000000,0,"I WOULD ATTEND LOCAL OPERA, DANCE AND THEATRE PRODUCTIONS, POSSIBLY VOLUNTEER THERE AS WELL. TAKE CLASSES AT LOCAL COLLEGE OR UNIVERSITY OR POSSIBLY TEACH AT LOCAL UNIVERSITY.","This respondent made new friends by attending local cultural events, volunteering, taking classes, and possibly teaching.","{ ""1"": ""0"", ""2"": ""0"", ""3"": ""1"", ""4"": ""0"", ""5"": ""0"", ""6"": ""1"", ""7"": ""1"", ""8"": ""0"", ""9"": ""1"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
355,1,0,0,1,0,1,1,0,0,0,0,1,0,1001011000010,1001011000000,0,"Posting online, joining a book club, hanging out at the gym, taking classes, conceivably joining a congregation.","This respondent made new friends by posting online, joining a book club, hanging out at the gym, taking classes, and conceivably joining a congregation.","{ ""1"": ""1"", ""2"": ""0"", ""3"": ""0"", ""4"": ""1"", ""5"": ""0"", ""6"": ""1"", ""7"": ""1"", ""8"": ""0"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
390,0,1,0,0,0,0,0,1,0,0,0,0,0,0100000100000,0010001000000,0,"Joining a club, volunteering or taking a class","This respondent made new friends by joining a club, volunteering, and taking a class.","{ ""1"": ""0"", ""2"": ""0"", ""3"": ""1"", ""4"": ""0"", ""5"": ""0"", ""6"": ""0"", ""7"": ""1"", ""8"": ""0"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
397,0,1,0,1,0,0,0,0,1,0,0,0,0,0101000010000,0111001000000,0,"go to bars, volunteering, joining orgs, attending meet-ups, joining dating websites","This respondent made new friends by going to bars, volunteering, joining orgs, attending meet-ups, and joining dating websites.","{ ""1"": ""0"", ""2"": ""1"", ""3"": ""1"", ""4"": ""1"", ""5"": ""0"", ""6"": ""0"", ""7"": ""1"", ""8"": ""0"", ""9"": ""0"", ""10"": ""1"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
400,1,0,0,0,0,0,0,0,0,0,0,0,0,1000000000000,1000001000000,0,Going to a church or temple also need to go to take lessons.,This respondent made new friends by going to a church or temple and taking lessons.,"{ ""1"": ""1"", ""2"": ""0"", ""3"": ""0"", ""4"": ""0"", ""5"": ""0"", ""6"": ""0"", ""7"": ""0"", ""8"": ""0"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
401,0,0,0,0,0,0,1,0,0,1,0,0,0,0000001001000,0000001000000,0,"I would join clubs, like maybe the local therapy- CAMP. Meet up for crafts, taking classes, quilting, clay. I would check with friends and family about people they know in the area. I would join a dog group. I would get on it. I would join the","This respondent made new friends by joining clubs, checking with friends and family, joining a dog group.","{ ""1"": ""0"", ""2"": ""0"", ""3"": ""0"", ""4"": ""0"", ""5"": ""0"", ""6"": ""1"", ""7"": ""0"", ""8"": ""0"", ""9"": ""0"", ""10"": ""1"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
404,0,0,0,0,1,0,0,0,0,0,0,0,0,0000100000000,0001100000000,0,whatever job I get - I would network to meet new people and hopefully friendships bloom.,This respondent made new friends by networking for job opportunities.,"{ ""1"": ""0"", ""2"": ""0"", ""3"": ""0"", ""4"": ""0"", ""5"": ""0"", ""6"": ""0"", ""7"": ""0"", ""8"": ""0"", ""9"": ""0"", ""10"": ""1"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
405,0,0,0,1,1,0,0,0,0,1,0,0,0,0001100001000,0001100000000,0,"Coworkers, meet-ups, and hopefully through massage therapy clients","This respondent made new friends by: 
- Coworkers
- Meet-ups
- Massage therapy clients","{ ""1"": ""0"", ""2"": ""0"", ""3"": ""0"", ""4"": ""0"", ""5"": ""1"", ""6"": ""0"", ""7"": ""0"", ""8"": ""0"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
406,0,0,1,0,0,0,1,0,0,0,0,0,0,0010001000000,0110001000000,0,"volunteering, signing up with newcomers organizations, join local library and garden clubs","This respondent made new friends by volunteering, joining newcomers organizations, and joining library and garden clubs.","{ ""1"": ""0"", ""2"": ""0"", ""3"": ""1"", ""4"": ""0"", ""5"": ""0"", ""6"": ""0"", ""7"": ""1"", ""8"": ""0"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
407,0,0,1,1,1,0,1,0,0,0,0,0,0,0011101000000,0110010000000,0,"volunteering, join a community choir, join walking group, go out with co-workers, join local meet up groups.","This respondent made new friends by volunteering, joining a community choir, joining a walking group, going out with co-workers, and joining local meet up groups.","{ ""1"": ""0"", ""2"": ""0"", ""3"": ""1"", ""4"": ""0"", ""5"": ""1"", ""6"": ""0"", ""7"": ""0"", ""8"": ""1"", ""9"": ""1"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
410,0,0,0,0,0,1,0,0,1,0,0,1,0,0000010010010,0010110000010,0,"I would probably join the local senior center. I have found this (works at senior center) to be helpful. I would join weight watchers, I've met friends that way. I would volunteer in the legal field.","This respondent made new friends by joining the local senior center, joining weight watchers, and volunteering in the legal field.","{ ""1"": ""0"", ""2"": ""0"", ""3"": ""0"", ""4"": ""0"", ""5"": ""0"", ""6"": ""1"", ""7"": ""0"", ""8"": ""0"", ""9"": ""1"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
411,0,0,0,0,0,0,1,0,0,0,0,0,0,0000001000000,0000000100000,0,connect with the nepal community,This respondent made new friends by connecting with the Nepal community.,"{ ""1"": ""0"", ""2"": ""0"", ""3"": ""0"", ""4"": ""0"", ""5"": ""0"", ""6"": ""0"", ""7"": ""0"", ""8"": ""0"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""1"" }"
415,0,1,0,0,0,0,0,0,0,0,0,0,0,0100000000000,0101000000000,0,Local BAR and post,This respondent made new friends by going to a local bar and post.,"{ ""1"": ""0"", ""2"": ""1"", ""3"": ""0"", ""4"": ""0"", ""5"": ""0"", ""6"": ""0"", ""7"": ""0"", ""8"": ""0"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
419,0,0,0,0,0,0,0,0,0,0,0,1,0,0000000000010,0000010000000,0,Dogs are always a great lead in for great conversation. Walking at the parks etc.,This respondent made new friends by walking dogs and engaging in conversations.,"{ ""1"": ""0"", ""2"": ""0"", ""3"": ""0"", ""4"": ""0"", ""5"": ""0"", ""6"": ""0"", ""7"": ""0"", ""8"": ""0"", ""9"": ""0"", ""10"": ""1"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
423,0,0,1,0,1,0,0,0,1,0,0,0,0,0010100010000,0010101000000,0,"join clubs, volunteer, work part-time","This respondent made new friends by joining clubs, volunteering, and working part-time.","{ ""1"": ""0"", ""2"": ""0"", ""3"": ""1"", ""4"": ""0"", ""5"": ""0"", ""6"": ""0"", ""7"": ""0"", ""8"": ""0"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
424,0,1,0,0,0,0,0,0,0,0,0,1,0,0100000000010,0100100000000,0,"If I was moving and in school, I would meet people in classes. If not I would meet people in bars or public places.","This respondent made new friends by: 
- Meeting people in classes
- Meeting people in bars or public places","{
""1"": ""0"",
""2"": ""1"",
""3"": ""0"",
""4"": ""0"",
""5"": ""0"",
""6"": ""0"",
""7"": ""0"",
""8"": ""0"",
""9"": ""0"",
""10"": ""0"",
""11"": ""0"",
""12"": ""0"",
""13"": ""0""
}"
427,0,0,1,0,0,0,0,0,1,0,0,0,0,0010000010000,0000000100000,0,"voluteering, joining a community, play music.","This respondent made new friends by volunteering, joining a community, and playing music.","{ ""1"": ""0"", ""2"": ""0"", ""3"": ""1"", ""4"": ""0"", ""5"": ""0"", ""6"": ""0"", ""7"": ""1"", ""8"": ""0"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
428,0,0,0,0,1,0,0,0,1,0,0,0,0,0000100010000,0001000000000,0,"Join some local classes, maybe go to some meetups find those with common interest","This respondent made new friends by joining local classes, attending meetups, and finding those with common interests.","{ ""1"": ""0"", ""2"": ""0"", ""3"": ""0"", ""4"": ""1"", ""5"": ""0"", ""6"": ""1"", ""7"": ""1"", ""8"": ""0"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
430,0,0,0,1,1,0,0,0,1,0,0,0,0,0001100010000,0001101000000,0,"Online dating, go out with co-workers, activities groups","This respondent made new friends by online dating, going out with co-workers, and joining activities groups.","{ ""1"": ""0"", ""2"": ""0"", ""3"": ""0"", ""4"": ""1"", ""5"": ""1"", ""6"": ""0"", ""7"": ""0"", ""8"": ""0"", ""9"": ""0"", ""10"": ""0"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
431,0,1,0,0,0,0,0,1,0,0,0,0,0,0100000100000,0000010000000,0,Go to parks,This respondent made new friends by going to parks.,"{
""1"": ""0"",
""2"": ""0"",
""3"": ""0"",
""4"": ""0"",
""5"": ""0"",
""6"": ""1"",
""7"": ""0"",
""8"": ""0"",
""9"": ""0"",
""10"": ""0"",
""11"": ""0"",
""12"": ""0"",
""13"": ""0""
}"
432,0,1,0,0,0,0,0,0,0,0,0,1,0,0100000000010,0100100000000,0,I've always struggled with making new friends. But if I was taking classes I would try to strike up conversations with other students. Or maybe at cafes were students meet.,This respondent made new friends by striking up conversations with other students.,"{ ""1"": ""0"", ""2"": ""0"", ""3"": ""0"", ""4"": ""0"", ""5"": ""0"", ""6"": ""0"", ""7"": ""0"", ""8"": ""0"", ""9"": ""0"", ""10"": ""1"", ""11"": ""0"", ""12"": ""0"", ""13"": ""0"" }"
436,0,0,0,0,0,0,0,0,0,0,0,0,1,0000000000001,0000000100000,0,"I think it would depend on the location, in California the people are more diverse so they are welcoming so I have less concerns about racism and sexism. I feel like most of my socialization in places that I don't know is more internal through",This respondent made new friends by socializing internally.,"{
""1"": ""0"",
""2"": ""0"",
""3"": ""0"",
""4"": ""0"",
""5"": ""0"",
""6"": ""0"",
""7"": ""0"",
""8"": ""0"",
""9"": ""0"",
""10"": ""0"",
""11"": ""0"",
""12"": ""0"",
""13"": ""0""
}"
437,0,0,0,0,0,0,0,0,0,0,0,1,0,0000000000010,0000001000000,0,"I am not much of a socializer, mostly it would be people I meet while doing things i'm interested in.","This respondent made new friends by:
- Meeting people while doing things they are interested in","{
""1"": ""0"",
""2"": ""0"",
""3"": ""0"",
""4"": ""0"",
""5"": ""0"",
""6"": ""1"",
""7"": ""0"",
""8"": ""0"",
""9"": ""0"",
""10"": ""0"",
""11"": ""0"",
""12"": ""0"",
""13"": ""0""
}"
